DevCCF,DevCCF_id,CCFv3,CCF_id,pixel_overlap,Log2_overlap
LPall,15,Isocortex,0.0,509.0,6.2324480165505225
DPall,16,Isocortex,0.0,920883.0,13.73308827133709
Vpall,14,OLF,1.0,199978.0,12.20596263947973
LPall,15,OLF,1.0,112424.0,11.630032716780581
DPall,16,OLF,1.0,267.0,5.58724865840025
DPall,16,HPF,2.0,84875.0,11.348934864860997
MPall,17,HPF,2.0,195740.0,12.184542526979811
Vpall,14,CTXsp,3.0,44021.0,10.692422071769268
LPall,15,CTXsp,3.0,19012.0,9.8528256377339
SPall,13,STR,4.0,28422.0,10.254918772151807
Vpall,14,STR,4.0,231.0,5.442417710521793
SPall,13,PAL,5.0,1045.0,6.951772164398911
PHy,20,PAL,5.0,2878.0,7.964850887447313
p3,21,TH,6.0,15000.0,9.615805480084347
p2,22,TH,6.0,103899.0,11.551174552401926
p1,23,TH,6.0,1833.0,7.513709247839705
THy,19,HY,7.0,25029.0,10.127790431570185
PHy,20,HY,7.0,27547.0,10.223648915729836
p3,21,HY,7.0,16005.0,9.680656452403964
p2,22,HY,7.0,759.0,6.63200177739563
p3,21,MB,8.0,5213.0,8.558910784768106
p2,22,MB,8.0,8098.0,8.999372396592106
p1,23,MB,8.0,34088.0,10.436700695179749
m1,24,MB,8.0,116389.0,11.664693308095693
m2,25,MB,8.0,5081.0,8.533263371593732
PPH,26,MB,8.0,28290.0,10.250263664295613
PPH,26,P,9.0,51034.0,10.840247356249623
PH,27,P,9.0,27307.0,10.21489835856197
PMH,28,P,9.0,15704.0,9.661670735956298
PPH,26,MY,10.0,11733.0,9.370160663423624
PH,27,MY,10.0,17368.0,9.762384711558127
PMH,28,MY,10.0,53090.0,10.879743865577717
MH,29,MY,10.0,145000.0,11.884489021402711
PPH,26,CB,11.0,387737.0,12.86808255371982
